f1_micro,f1_macro,runtime,dataset,method,seed,overlap_ratio,num_clusters
0.8630831643002028,0.8571797578484802,1.75032377243042,PubMed,GCN,7,,
0.8879310344827587,0.8858090243783248,1.1806817054748535,PubMed,GraphSAGE,7,,
0.8573360378634213,0.8503996860796897,3.0831189155578613,PubMed,GAT,7,,
0.8430212909766813,0.8401787997347036,1.0792624950408936,PubMed,RandomPartition,7,1.0,6.0
0.8556457065584855,0.8462394105831397,1.7448639869689941,PubMed,GCN,8,,
0.8730561189993239,0.8684883042517492,1.2670226097106934,PubMed,GraphSAGE,8,,
0.8449966193373901,0.8351268935587264,3.090508460998535,PubMed,GAT,8,,
0.8546560757140442,0.851502590161727,1.1308894157409668,PubMed,RandomPartition,8,1.0,6.0
0.8593644354293442,0.8543039556987968,1.6988177299499512,PubMed,GCN,9,,
0.8857336037863421,0.8831586667743087,1.2067224979400635,PubMed,GraphSAGE,9,,
0.8529411764705882,0.8454232811209833,3.1198015213012695,PubMed,GAT,9,,
0.850794187225414,0.8496645531817059,1.3183872699737549,PubMed,RandomPartition,9,1.0,6.0
0.8651115618661258,0.8585165557291141,1.9701943397521973,PubMed,GCN,10,,
0.8804935767410412,0.8768040338121953,1.2327206134796143,PubMed,GraphSAGE,10,,
0.8507437457741718,0.8421397488867206,3.1926167011260986,PubMed,GAT,10,,
0.8448800270361608,0.8443133350316597,1.1678273677825928,PubMed,RandomPartition,10,1.0,6.0
0.8644354293441514,0.8573301393501355,1.7632768154144287,PubMed,GCN,11,,
0.8831981068289385,0.8807814225569034,1.219341516494751,PubMed,GraphSAGE,11,,
0.8571670047329276,0.8489744157471693,3.6319689750671387,PubMed,GAT,11,,
0.8518080432578574,0.8490002233065036,1.1710624694824219,PubMed,RandomPartition,11,1.0,6.0
0.868999323867478,0.8617989501580193,1.703129768371582,PubMed,GCN,12,,
0.8848884381338742,0.8803713682140729,1.2517681121826172,PubMed,GraphSAGE,12,,
0.8571670047329276,0.8479771859321721,3.100835084915161,PubMed,GAT,12,,
0.858060155457925,0.8555243798562874,1.048327922821045,PubMed,RandomPartition,12,1.0,6.0
0.8669709263015551,0.8585416662012381,1.7539887428283691,PubMed,GCN,13,,
0.8842123056118999,0.8798414419031845,1.218616247177124,PubMed,GraphSAGE,13,,
0.8514198782961461,0.8432059313926056,3.3898870944976807,PubMed,GAT,13,,
0.8514700912470429,0.8485059003787133,1.0457472801208496,PubMed,RandomPartition,13,1.0,6.0
0.8620689655172413,0.8558932209794868,1.7602388858795166,PubMed,GCN,14,,
0.8869168356997972,0.8840276186011904,1.2624175548553467,PubMed,GraphSAGE,14,,
0.855814739688979,0.8492547705954898,4.22520899772644,PubMed,GAT,14,,
0.8555010985296603,0.8523907574619626,1.2004053592681885,PubMed,RandomPartition,14,1.0,6.0
0.8651115618661258,0.8597062789358375,1.8879644870758057,PubMed,GCN,15,,
0.8879310344827587,0.8850711017903649,1.43609619140625,PubMed,GraphSAGE,15,,
0.8539553752535497,0.8469072572165143,3.0181050300598145,PubMed,GAT,15,,
0.8516390672524502,0.8489599873482212,1.1062705516815186,PubMed,RandomPartition,15,1.0,6.0
